Job order ID,Company ID,# submissions,# recruiters submitting in job lifetime,# client interviews conducted,# placements,Current Job Status,Age of job since updated,Current Company Status,# company contacts,Finder's fee,Retainer Amount,Flat Fee,Company Churn?,Order Churn?,Age of job (Created to Status Change),Age of Job (Since Created)
16501024,21677494,29,7,12,1,4. Closed,13,Active- No Current Job Orders,2,0.13,500,0,0,1,144,152
16441396,22885605,24,7,3,0,Offer Extended,2,2. Active,1,0.18,1000,0,0,0,239,242
16563775,22904265,8,3,2,0,2. Temporary-Paused (BENCH),6,2. Active,1,0.15,500,0,0,1,28,30
16554158,22570739,10,5,0,0,2. Temporary-Paused,12,2. Active,1,0.175,2500,0,0,1,26,51
16562984,22731930,4,4,1,0,4. Closed,2,2. Active,8,0.14,1000,0,0,1,27,32
16452928,21676684,27,10,14,0,1. Active,6,2. Active,2,0.15,1150,0,0,0,220,220
16420174,22875714,28,9,14,1,4. Closed,6,Active- No Current Job Orders,2,0.15,500,0,0,1,273,278
16473296,22880874,12,9,3,0,1. Active,4,2. Active,1,0.15,1000,0,0,0,178,179
16555477,22973578,4,4,1,0,Offer Extended,9,2. Active,1,0.15,1000,0,0,0,47,47
16552701,22972062,10,4,3,0,FROZEN-UNRESPONSIVE,5,2. Active,2,0.15,1000,0,0,1,49,54
16258022,22718833,44,11,10,0,1. Active,4,2. Active,1,0.12,1000,0,0,0,497,498
16564186,22718833,5,3,1,0,1. Active,4,2. Active,1,0.12,1000,0,0,0,26,29
16515787,22714719,6,4,2,0,1. Active,6,2. Active,1,0,0,8000,0,0,131,134
16538930,22962417,10,4,4,0,1. Active,6,2. Active,1,0.165,500,0,0,0,79,80
16565262,22305167,8,4,3,0,2. Temporary-Paused,0,2. Active,2,0.175,2500,0,0,1,16,26
15888356,22305167,15,6,13,0,2. Temporary-Paused,7,2. Active,2,0.175,2500,0,0,1,740,746
16542434,22731930,10,6,1,1,3. Filled,5,2. Active,8,0.14,1000,0,0,0,64,73
16510638,22925554,34,8,2,0,2. Temporary-Paused,7,No Status,1,0.15,1000,0,0,1,123,143
14945899,21676684,221,29,93,19,3. Filled,5,2. Active,2,0.15,1150,0,0,0,1066,1068
16566354,22966003,1,1,0,0,2. Temporary-Paused,2,2. Active,1,0.12,0,0,0,1,9,24
